case_id,company,category,complaint_type,conflict_type,expected_status,severity,source
CMP_00030,Meesho,Apparel/Clothing,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00031,Nykaa,Footwear,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00032,Snapdeal,Electronics,Warehouse Issue,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00033,Myntra,Apparel/Clothing,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00034,Amazon,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00035,Meesho,Home/Kitchen,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00036,Shopify,Other/Unspecified,Lost Package,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00037,Amazon,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00038,Amazon,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00039,Meesho,Footwear,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00040,Flipkart,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00041,Shopify,Apparel/Clothing,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00042,Myntra,Electronics,Customer Support,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00043,JioMart,Electronics,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00044,Amazon,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00045,Nykaa,Beauty/Personal Care,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00046,Ajio,Footwear,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00047,Myntra,Apparel/Clothing,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00048,Amazon,Other/Unspecified,COD Scam,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00049,Myntra,Apparel/Clothing,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00050,Nykaa,Beauty/Personal Care,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00051,Nykaa,Apparel/Clothing,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00052,Nykaa,Footwear,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00053,Ajio,Other/Unspecified,Policy Issue,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00054,Amazon,Beauty/Personal Care,Missing Items,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00055,Shopify,Other/Unspecified,Lost Package,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00056,Shopify,Apparel/Clothing,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00057,Amazon,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00058,Flipkart,Footwear,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00059,Amazon,Beauty/Personal Care,Missing Items,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00060,Flipkart,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00061,Nykaa,Footwear,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00062,Meesho,Home/Kitchen,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00063,Flipkart,Electronics,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00064,JioMart,Apparel/Clothing,Damaged Product,WEIGHT_ANOMALY,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00065,Ajio,Apparel/Clothing,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00066,JioMart,Other/Unspecified,Delivery Failure,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00067,Snapdeal,Apparel/Clothing,Wrong Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00068,Nykaa,Footwear,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00069,Meesho,Footwear,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00070,Myntra,Footwear,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00071,Shopify,Apparel/Clothing,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00072,Snapdeal,Electronics,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00073,Myntra,Footwear,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00074,Myntra,Electronics,Customer Support,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00075,D2C Brand,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00076,Myntra,Apparel/Clothing,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00077,Shopify,Accessories,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00078,Ajio,Apparel/Clothing,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00079,Meesho,Apparel/Clothing,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00080,Shopify,Other/Unspecified,Lost Package,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00081,D2C Brand,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00082,Amazon,Other/Unspecified,COD Scam,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00083,Meesho,Footwear,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00084,Flipkart,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00085,Shopify,Accessories,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00086,JioMart,Electronics,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00087,Snapdeal,Apparel/Clothing,Wrong Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00088,Flipkart,Footwear,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00089,Flipkart,Other/Unspecified,Price Mismatch,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00090,Flipkart,Beauty/Personal Care,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00091,Flipkart,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00092,Snapdeal,Electronics,Warehouse Issue,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00093,Amazon,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00094,Ajio,Footwear,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00095,Amazon,Other/Unspecified,COD Scam,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00096,Flipkart,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00097,Meesho,Apparel/Clothing,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00098,Flipkart,Electronics,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00099,Snapdeal,Apparel/Clothing,Wrong Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00100,Shopify,Accessories,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00101,Myntra,Electronics,Customer Support,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00102,JioMart,Electronics,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00103,Flipkart,Footwear,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00104,Myntra,Apparel/Clothing,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00105,Amazon,Electronics,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00106,JioMart,Electronics,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00107,Ajio,Other/Unspecified,Policy Issue,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00108,Amazon,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00109,Nykaa,Apparel/Clothing,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00110,Ajio,Apparel/Clothing,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00111,Ajio,Footwear,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00112,D2C Brand,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00113,Meesho,Apparel/Clothing,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00114,Amazon,Beauty/Personal Care,Missing Items,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00115,JioMart,Apparel/Clothing,Damaged Product,WEIGHT_ANOMALY,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00116,D2C Brand,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00117,Meesho,Apparel/Clothing,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00118,Nykaa,Apparel/Clothing,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00119,Nykaa,Beauty/Personal Care,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00120,Ajio,Footwear,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00121,Nykaa,Footwear,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00122,D2C Brand,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00123,Ajio,Footwear,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00124,Amazon,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00125,Nykaa,Beauty/Personal Care,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00126,Myntra,Electronics,Customer Support,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00127,D2C Brand,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00128,JioMart,Other/Unspecified,Delivery Failure,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00129,Amazon,Electronics,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00130,Amazon,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00131,Amazon,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00132,Amazon,Beauty/Personal Care,Missing Items,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00133,Ajio,Apparel/Clothing,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00134,Ajio,Apparel/Clothing,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00135,Flipkart,Footwear,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00136,Snapdeal,Electronics,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00137,Amazon,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00138,Myntra,Apparel/Clothing,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00139,Meesho,Footwear,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00140,Shopify,Other/Unspecified,Lost Package,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00141,Nykaa,Apparel/Clothing,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00142,Flipkart,Footwear,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00143,Flipkart,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00144,Snapdeal,Apparel/Clothing,Wrong Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00145,Flipkart,Footwear,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00146,Snapdeal,Apparel/Clothing,Wrong Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00147,Ajio,Apparel/Clothing,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00148,Snapdeal,Electronics,Warehouse Issue,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00149,Shopify,Apparel/Clothing,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00150,Shopify,Accessories,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00151,JioMart,Apparel/Clothing,Damaged Product,WEIGHT_ANOMALY,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00152,Flipkart,Other/Unspecified,Price Mismatch,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00153,JioMart,Apparel/Clothing,Damaged Product,WEIGHT_ANOMALY,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00154,Meesho,Home/Kitchen,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00155,Snapdeal,Apparel/Clothing,Wrong Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00156,Ajio,Apparel/Clothing,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00157,JioMart,Apparel/Clothing,Damaged Product,WEIGHT_ANOMALY,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00158,Flipkart,Beauty/Personal Care,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00159,Meesho,Apparel/Clothing,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00160,Snapdeal,Apparel/Clothing,Wrong Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00161,Flipkart,Footwear,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00162,JioMart,Other/Unspecified,Delivery Failure,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00163,Meesho,Home/Kitchen,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00164,Meesho,Apparel/Clothing,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00165,Flipkart,Electronics,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00166,JioMart,Other/Unspecified,Delivery Failure,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00167,Flipkart,Beauty/Personal Care,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00168,Flipkart,Footwear,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00169,JioMart,Apparel/Clothing,Damaged Product,WEIGHT_ANOMALY,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00170,JioMart,Apparel/Clothing,Damaged Product,WEIGHT_ANOMALY,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00171,Snapdeal,Apparel/Clothing,Wrong Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00172,Myntra,Footwear,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00173,Shopify,Apparel/Clothing,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00174,Flipkart,Other/Unspecified,Price Mismatch,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00175,Amazon,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00176,D2C Brand,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00177,Nykaa,Footwear,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00178,Shopify,Apparel/Clothing,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00179,Flipkart,Other/Unspecified,Price Mismatch,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00180,Shopify,Apparel/Clothing,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00181,Myntra,Footwear,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00182,Ajio,Footwear,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00183,Amazon,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00184,Meesho,Apparel/Clothing,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00185,Ajio,Apparel/Clothing,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00186,Myntra,Footwear,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00187,Meesho,Footwear,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00188,Ajio,Footwear,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00189,Amazon,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00190,Nykaa,Apparel/Clothing,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00191,Flipkart,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00192,Ajio,Other/Unspecified,Policy Issue,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00193,Nykaa,Footwear,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00194,Amazon,Other/Unspecified,COD Scam,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00195,Ajio,Other/Unspecified,Policy Issue,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00196,Meesho,Footwear,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00197,Flipkart,Beauty/Personal Care,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00198,Amazon,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00199,Flipkart,Electronics,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00200,Myntra,Footwear,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00201,Nykaa,Apparel/Clothing,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00202,Nykaa,Apparel/Clothing,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00203,Amazon,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00204,Myntra,Apparel/Clothing,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00205,Myntra,Apparel/Clothing,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00206,D2C Brand,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00207,Nykaa,Apparel/Clothing,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00208,Ajio,Footwear,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00209,Shopify,Apparel/Clothing,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00210,Nykaa,Footwear,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00211,Meesho,Apparel/Clothing,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00212,Nykaa,Footwear,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00213,Snapdeal,Electronics,Warehouse Issue,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00214,Myntra,Apparel/Clothing,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00215,Amazon,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00216,Meesho,Home/Kitchen,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00217,Amazon,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00218,Myntra,Footwear,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00219,Amazon,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00220,Meesho,Footwear,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00221,Flipkart,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00222,Shopify,Apparel/Clothing,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
