Paper_ID,Title,Primary_Theme,Secondary_Themes,Relevance_Score,Year
TRINETRA_0256,Fairness-Aware Explainable Recommendation over Knowledge Graphs,Transparency,Explainable AI; Decision Support,10.5,2020
TRINETRA_0268,Temporal Meta-path Guided Explainable Recommendation,Explainable AI,Transparency,10.5,2021
TRINETRA_0166,Comment based Seller Trust model for E-commerce,Seller Trust,Consumer Trust,10.5,2016
TRINETRA_0082,Explainable AI in Fintech Risk Management,Explainable AI,Transparency,10.5,2020
TRINETRA_0081,Diabetes prediction using machine learning and explainable AI techniques,Explainable AI,Transparency,10.5,2022
TRINETRA_0258,Counterfactual Explainable Recommendation,Explainable AI,Transparency; Decision Support,10.5,2021
TRINETRA_0257,A Reinforcement Learning Framework for Explainable Recommendation,Explainable AI,Transparency,10.5,2018
TRINETRA_0270,KR-GCN: Knowledge-Aware Reasoning with Graph Convolution Network for Explainable Recommendation,Explainable AI,Transparency,10.5,2022
TRINETRA_0084,Metrics for Explainable AI: Challenges and Prospects,Explainable AI,Transparency,10.5,2018
TRINETRA_0404,Trust management through reputation mechanisms,Marketplace,Consumer Trust; Decision Support,10.5,2000
TRINETRA_0075,"Toward Human-Understandable, Explainable AI",Explainable AI,Transparency,10.5,2018
TRINETRA_0262,Personalized Transformer for Explainable Recommendation,Explainable AI,Transparency,10.5,2021
TRINETRA_0252,Explicit factor models for explainable recommendation based on phrase-level sentiment analysis,Transparency,Explainable AI,10.5,2014
TRINETRA_0072,Explainable AI (XAI): A systematic meta-survey of current challenges and future opportunities,Explainable AI,Transparency,10.5,2023
TRINETRA_0260,Explainable Recommendation via Multi-Task Learning in Opinionated Text Data,Transparency,Explainable AI,10.5,2018
TRINETRA_0259,Personalized Prompt Learning for Explainable Recommendation,Explainable AI,Transparency,10.5,2023
TRINETRA_0253,Learning Heterogeneous Knowledge Base Embeddings for Explainable Recommendation,Explainable AI,Transparency,10.5,2018
TRINETRA_0265,Co-Attentive Multi-Task Learning for Explainable Recommendation,Explainable AI,Transparency,10.5,2019
TRINETRA_0076,Explainable AI Methods - A Brief Overview,Explainable AI,Transparency,10.5,2022
TRINETRA_0266,Dynamic Explainable Recommendation Based on Neural Attentive Models,Transparency,Explainable AI,10.5,2019
TRINETRA_0165,"An empirical model of salesperson competence, buyer-seller trust and collaboration: the moderating role of technological turbulence and product complexity",Seller Trust,Consumer Trust,10.5,2020
TRINETRA_0078,From Anecdotal Evidence to Quantitative Evaluation Methods: A Systematic Review on Evaluating Explainable AI,Explainable AI,Transparency; Evidence Management,10.5,2023
TRINETRA_0130,How to Manage Value-Added Tax Refunds,Refund Management,Consumer Trust,10.0,2021
TRINETRA_0134,Big data based fraud risk management at Alibaba,Risk Assessment,Consumer Trust,10.0,2015
TRINETRA_0137,Analysis and Evaluation of Various Fraud Detection Methods for Electronic Payment Cards Transactions in Big Data,Refund Management,Explainable AI,10.0,2024
TRINETRA_0058,Defining Uncertainty: A Conceptual Basis for Uncertainty Management in Model-Based Decision Support,Decision Support,Risk Assessment,9.0,2003
TRINETRA_0045,"Consumer Trust, Value, and Loyalty in Relational Exchanges",Consumer Trust,Evidence Management,9.0,2002
TRINETRA_0046,Building consumer trust online,Consumer Trust,Consumer Trust,9.0,1999
TRINETRA_0048,Influencer Marketing: How Message Value and Credibility Affect Consumer Trust of Branded Content on Social Media,Consumer Trust,Consumer Trust,9.0,2018
TRINETRA_0401,"ADMETlab 3.0: an updated comprehensive online ADMET prediction platform enhanced with broader coverage, improved performance, API functionality and decision support",Decision Support,Consumer Trust,9.0,2024
TRINETRA_0047,Consumer Trust in an Internet Store: A Cross-Cultural Validation,Consumer Trust,Consumer Trust,9.0,2006
TRINETRA_0063,Foundations of Decision Support Systems,Decision Support,Consumer Trust,9.0,1982
TRINETRA_0148,Effects of customer trust on engagement in live streaming commerce: mediating role of swift guanxi,Consumer Trust,Consumer Trust,9.0,2021
TRINETRA_0249,The future of self-driving laboratories: from human in the loop interactive AI to gamification,Human in the Loop,Consumer Trust,9.0,2024
TRINETRA_0170,Remote Purchase Environments: The Influence of Return Policy Leniency on Two-Stage Decision Processes,Return Policy,Consumer Trust,9.0,2001
TRINETRA_0174,Counteracting Strategic Purchase Deferrals: The Impact of Online Retailers’ Return Policy Decisions,Return Policy,Refund Management,9.0,2016
TRINETRA_0055,A Foundation for the Study of Group Decision Support Systems,Decision Support,Consumer Trust,9.0,1987
TRINETRA_0061,A Framework for the Development of Decision Support Systems,Decision Support,Consumer Trust,9.0,1980
TRINETRA_0151,Gaining Customer Trust: A Conceptual Guide for the Salesperson,Consumer Trust,Consumer Trust,9.0,2013
TRINETRA_0157,"The Nature and Role of Feedback Text Comments in Online Marketplaces: Implications for Trust Building, Price Premiums, and Seller Differentiation",Consumer Trust,Marketplace; Evidence Management,9.0,2006
TRINETRA_0345,Judicialization and the Construction of Governance,Refund Management,Consumer Trust,9.0,1999
TRINETRA_0146,The Mediating Role of Customer Trust on Customer Loyalty,Consumer Trust,Consumer Trust,9.0,2013
TRINETRA_0139,Building customer trust in mobile commerce,Consumer Trust,Consumer Trust,9.0,2003
TRINETRA_0141,The Impact of Customer Trust and Perception of Security Control on the Acceptance of Electronic Commerce,Consumer Trust,Consumer Trust,9.0,2003
TRINETRA_0143,Perceived Service Quality and Customer Trust,Consumer Trust,Consumer Trust,9.0,2007
TRINETRA_0150,A comprehensive model of customer trust in two retail stores,Consumer Trust,Consumer Trust,9.0,2009
TRINETRA_0052,The impact of corporate social responsibility on consumer trust: the case of organic food,Consumer Trust,Consumer Trust,9.0,2007
TRINETRA_0099,Forecasting e-commerce consumer returns: a systematic literature review,Reverse Logistics,Consumer Trust,8.0,2024
TRINETRA_0209,E-commerce development in rural and remote areas of BRICS countries,Refund Management,Consumer Trust,8.0,2021
TRINETRA_0040,From reversed logistics to green supply chains,Reverse Logistics,Consumer Trust,8.0,1999
TRINETRA_0417,Sustainable Retailing in the Fashion Industry: A Systematic Literature Review,Reverse Logistics,Consumer Trust,8.0,2017
TRINETRA_0113,Using case-based reasoning method to design a return merchandise authorization system for supply chain management in Internet of Thing,Marketplace,Consumer Trust; Decision Support,8.0,2017
TRINETRA_0287,Relationship between auditor integrity and organizational commitment to fraud prevention,Evidence Management,Consumer Trust,7.5,2020
TRINETRA_0280,Effectiveness of Fraud Prevention and Detection Techniques in Malaysian Islamic Banks,Marketplace,Consumer Trust; Decision Support,7.5,2014
TRINETRA_0289,Fraud Prevention Determinants: A Balinese Cultural Overview,Marketplace,Consumer Trust; Decision Support,7.5,2022
TRINETRA_0279,Fraud prevention initiatives in the Nigerian public sector,Marketplace,Consumer Trust; Decision Support,7.5,2018
TRINETRA_0277,Fraud Prevention: Relevance to Religiosity and Spirituality in the Workplace,Marketplace,Consumer Trust; Decision Support,7.5,2015
TRINETRA_0288,The effect of internal control and anti-fraud awareness on fraud prevention (A survey on inter-governmental organizations),Marketplace,Consumer Trust; Decision Support,7.5,2017
TRINETRA_0278,Fraud prevention in Malaysian small and medium enterprises (SMEs),Risk Assessment,Consumer Trust,7.5,2018
TRINETRA_0272,Corporate governance and information technology in fraud prevention and detection,Marketplace,Consumer Trust; Decision Support,7.5,2016
TRINETRA_0276,The Effects of Internal Audit Structure on Perceived Financial Statement Fraud Prevention,Evidence Management,Consumer Trust,7.5,2003
TRINETRA_0215,Toward a theory of evidence based decision making,Evidence Management,Decision Support; Transparency,7.5,2012
TRINETRA_0285,GST fraud prevention to ensure business sustainability: a Malaysian case study,Evidence Management,Consumer Trust,7.5,2020
TRINETRA_0282,The influence of whistleblowing system toward fraud prevention,Marketplace,Consumer Trust; Decision Support,7.5,2020
TRINETRA_0286,Blockchain for Fraud Prevention: A Work-History Fraud Prevention System,Evidence Management,Consumer Trust,7.5,2018
TRINETRA_0284,The effects of good governance and fraud prevention on performance of the zakat institutions in Indonesia: a Sharīʿah forensic accounting perspective,Marketplace,Consumer Trust; Decision Support,7.5,2021
TRINETRA_0240,Human-in-the-loop machine learning: a state of the art,Explainable AI,Transparency,7.0,2022
TRINETRA_0234,Toward Involving End-users in Interactive Human-in-the-loop AI Fairness,Explainable AI,Transparency,7.0,2022
TRINETRA_0261,Social Collaborative Viewpoint Regression with Explainable Recommendations,Transparency,Explainable AI,7.0,2017
TRINETRA_0385,A survey of methods for explaining black box models,Explainable AI,Decision Support,6.0,2019
TRINETRA_0248,The impact of AI errors in a human-in-the-loop process,Decision Support,Consumer Trust,6.0,2024
TRINETRA_0290,Online retail returns management,Reverse Logistics,Marketplace,6.0,2016
TRINETRA_0293,On packaging and product returns in online retail—Mailing boxes or sending signals?,Marketplace,Consumer Trust,6.0,2021
TRINETRA_0409,Trust in blockchain-enabled exchanges: Future directions in blockchain marketing,Transparency,Consumer Trust,6.0,2022
TRINETRA_0235,"Human-in-the-Loop AI Reviewing: Feasibility, Opportunities, and Risks",Human in the Loop,Consumer Trust,6.0,2024
TRINETRA_0178,Post-purchase shipping and customer service experiences in online shopping and their impact on customer satisfaction,Customer Experience,Consumer Trust,6.0,2018
TRINETRA_0214,From science to action: Principles for undertaking environmental research that enables knowledge exchange and evidence-based decision-making,Evidence Management,Decision Support,6.0,2016
TRINETRA_0079,What Does Explainable AI Really Mean? A New Conceptualization of Perspectives,Transparency,Explainable AI,5.5,2017
TRINETRA_0296,Expectations of Returns and Expected Returns,Evidence Management,Consumer Trust,5.0,2014
TRINETRA_0090,The Impact of E-Commerce Announcements on the Market Value of Firms,Evidence Management,Consumer Trust,5.0,2001
TRINETRA_0396,The Capital Structure Puzzle,Evidence Management,Consumer Trust,5.0,1984
TRINETRA_0389,Does Asymmetric Information Drive Capital Structure Decisions?,Evidence Management,Consumer Trust,5.0,2008
TRINETRA_0325,Fraud Detection using Machine Learning in e-Commerce,Marketplace,Consumer Trust; Decision Support,5.0,2019
TRINETRA_0017,Detection Fraud of Financial Statement with Fraud Triangle,Evidence Management,Consumer Trust,5.0,2013
TRINETRA_0375,A Comparison of Online Trust Building Factors between Potential Customers and Repeat Customers,Consumer Trust,Consumer Trust,5.0,2004
TRINETRA_0283,Accountants' perceptions regarding fraud detection and prevention methods,Marketplace,Consumer Trust; Decision Support,5.0,2006
TRINETRA_0011,VAT fraud and reverse charge: empirical evidence from VAT return data,Evidence Management,Consumer Trust,5.0,2023
TRINETRA_0441,"Responding to Activist Short Sellers: Allegations, Firm Responses, and Outcomes",Evidence Management,Consumer Trust,5.0,2021
TRINETRA_0100,E‐business e‐commerce evolution: perspective and strategy,Evidence Management,Consumer Trust,5.0,2001
TRINETRA_0400,"Presidential Address: Expected Return, Realized Return, and Asset Pricing Tests",Evidence Management,Consumer Trust,5.0,1999
TRINETRA_0107,Functional Restoration with Behavioral Support,Evidence Management,Consumer Trust,5.0,1989
TRINETRA_0216,PRISMA 2020 explanation and elaboration: updated guidance and exemplars for reporting systematic reviews,Decision Support,Evidence Management,5.0,2021
TRINETRA_0106,The Value of School Facility Investments: Evidence from a Dynamic Regression Discontinuity Design<sup>*</sup>,Evidence Management,Consumer Trust,5.0,2010
TRINETRA_0184,Online experiences and virtual goods purchase intention,Evidence Management,Consumer Trust,5.0,2012
TRINETRA_0200,E-Commerce Promotional Products Selection Using SWARA and TOPSIS,Decision Support,Consumer Trust,4.0,2024
TRINETRA_0516,"The Effects of Trust, Perceived Risk, Innovativeness, and Deal Proneness on Consumers’ Purchasing Behavior in the Livestreaming Social Commerce Context",Marketplace,Consumer Trust,4.0,2023
TRINETRA_0500,E-commerce Evolution in Asia and the Pacific,Marketplace,Consumer Trust,4.0,2023
TRINETRA_0179,"Perceived Risk, Anticipated Regret and Post-purchase Experience in the Real Estate Market: The Case of China",Customer Experience,Consumer Trust,4.0,2011
TRINETRA_0103,Return merchandize authorization stakeholders and customer requirements management—high-technology products,Marketplace,Consumer Trust,4.0,2007
TRINETRA_0094,Whether a retailer should enter an e‐commerce platform taking into account consumer returns,Marketplace,Consumer Trust; Decision Support,4.0,2020
TRINETRA_0304,The role of physical distribution services as determinants of product returns in Internet retailing,Marketplace,Consumer Trust,4.0,2014
TRINETRA_0512,Virtual Wardrobe: Enhancing Consumer Engagement through Augmented Reality,Marketplace,Consumer Trust,4.0,2024
TRINETRA_0195,Consumer Perception of Post-Purchase Experience on Electric Vehicle Owners in Chennai City,Customer Experience,Consumer Trust,4.0,2024
TRINETRA_0185,Multiple roles of consumption emotions in post‐purchase satisfaction with extended service transactions,Marketplace,Consumer Trust; Decision Support,4.0,2000
TRINETRA_0405,Paradoxes of Public Sector Customer Service,Marketplace,Consumer Trust; Decision Support,4.0,2001
TRINETRA_0140,"The Different Roles of Satisfaction, Trust, and Commitment in Customer Relationships",Marketplace,Consumer Trust; Decision Support,4.0,1999
TRINETRA_0149,"Comfort your online customer: quality, trust and loyalty on the internet",Marketplace,Consumer Trust; Decision Support,4.0,2004
