Paper_ID,Title,Identified_Gap,TriNetra_Solution,Module_Impact
TRINETRA_0124,Refund Fraud? Real-Time Solution!,"Focuses on isolated fraud detection without integrating multi-stakeholder evidence (customer photos, courier tracking, warehouse scans) into an explainable case timeline.","TriNetra addresses this by providing replacing with isolated fraud detection without integrating multi-stakeholder evidence (customer photos, courier tracking, warehouse scans) into an explainable case timeline.",Marketplace Dashboard; Trust Intelligence
TRINETRA_0142,The Relationship between Customer Satisfaction and Customer Trust on Customer Loyalty,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence
TRINETRA_0144,"How to repair customer trust after negative publicity: The roles of competence, integrity, benevolence, and forgiveness","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence
TRINETRA_0479,Consumer protection and electronic commerce in the Sultanate of Oman,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence; Case Timeline
TRINETRA_0820,Jurisdiction in B2C E-Commerce Dispute within European Union,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline
TRINETRA_0175,Optimal Retail Return Policies with Wardrobing,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Evidence Consistency
TRINETRA_0147,The impact of corporate social responsibility (CSR) and customer trust on the restoration of loyalty after service failure and recovery,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence
TRINETRA_0406,Online dispute resolution: The future of justice,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline; Human Review
TRINETRA_0413,Online Dispute Resolution: Consumer Redress in a Global Market Place,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline
TRINETRA_0088,Towards Minimizing e-Commerce Returns for Clothing,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Evidence Collection
TRINETRA_0471,Integrating BIM in Construction Dispute Resolution: Development of a Contractual Framework,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline
TRINETRA_0171,Consumer Return Policies in Omnichannel Operations,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard; Trust Intelligence
TRINETRA_0176,Optimal Trade‐in Return Policies: Is it Wise to be Generous? <sup/>,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard; Trust Intelligence
TRINETRA_0169,Customer Return Policies for Experience Goods,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard; Trust Intelligence
TRINETRA_0473,Blockchain-Based Dispute Resolution: Insights and Challenges,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Evidence Collection; Case Timeline
TRINETRA_0158,Building Effective Online Marketplaces with Institution-Based Trust,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence; Marketplace Dashboard
TRINETRA_0295,Returns operations in omnichannel retailing with buy-online-and-return-to-store,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard; Trust Intelligence
TRINETRA_0343,Alternative Dispute Resolution Processes within the Framework of the World‐Wide Access‐to‐Justice Movement,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline
TRINETRA_0414,ONLINE DISPUTE RESOLUTION AND JUSTICE SYSTEM INTEGRATION: BRITISH COLUMBIA’S CIVIL RESOLUTION TRIBUNAL,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline
TRINETRA_0198,Unleashing Alternative Dispute Resolution (ADR) in Resolving Complex Legal- Technical Issues Arising in Cyberspace Lensing E-Commerce and Intellectual Property: Proliferation of E-Commerce Digital Economy,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline; Human Review
TRINETRA_0199,Redress and Alternative Dispute Resolution in EU Cross-Border E-Commerce Transactions1,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline
TRINETRA_0339,Online dispute resolution: an artificial intelligence perspective,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline
TRINETRA_0204,ONLINE DISPUTE RESOLUTION (ODR): PROSPEK PENYELESAIAN SENGKETA E-COMMERCE DI INDONESIA,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline
TRINETRA_0203,Online dispute resolution in e-commerce: is consensus in regulation UNCITRAL’s utopian idea or a realistic ambition?,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Case Timeline; Marketplace Dashboard
TRINETRA_0303,New insights in online fashion retail returns from a customers’ perspective and their dynamics,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard
TRINETRA_0202,Electronically-Mediated Dispute Resolution and E-Commerce,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence; Case Timeline
TRINETRA_0208,Online Dispute Resolution for Consumers in the European Union,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence; Case Timeline
TRINETRA_0037,AN EXAMINATION OF REVERSE LOGISTICS PRACTICES,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard
TRINETRA_0038,Developing a Theory of Reverse Logistics,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard
TRINETRA_0039,Reverse logistics and social sustainability,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard
TRINETRA_0041,Returnable containers: an example of reverse logistics,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard
TRINETRA_0042,Differences between forward and reverse logistics in a retail environment,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard
TRINETRA_0051,A Trust Model for Consumer Internet Shopping,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence; Marketplace Dashboard
TRINETRA_0044,Characteristics of the research on reverse logistics (1995–2005),"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard
TRINETRA_0817,ONLINE DISPUTE RESOLUTION: POST-PANDEMIC EFFECTIVENESS AND EQUITY ISSUES -A COMPARATIVE ANALYSIS,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline
TRINETRA_0818,Dispute Resolution Mechanisms in Electronic Commerce(Special Reference to Online Dispute Resolution Mechanism),"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline
TRINETRA_0814,First Resort: Alternative Dispute Resolution for Breach of Verbal Purchase Agreements,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Evidence Collection; Case Timeline
TRINETRA_0819,Online dispute resolution in Indonesian e-commerce: Arbitration law and shariah consumer protection,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline; Human Review
TRINETRA_0816,DISPUTE RESOLUTION THROUGH ARBITRATION IN SALE AND PURCHASE AGREEMENT,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline; Human Review
TRINETRA_0815,Quo Vadis Consumer Dispute Resolution? UK &amp; EU cross border consumer dispute resolution in the post Brexit landscape,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline
TRINETRA_0207,Universal standards for the concept of trust in online dispute resolution systems in e-commerce disputes,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence; Case Timeline
TRINETRA_0181,Fresh food online shopping repurchase intention: the role of post-purchase customer experience and corporate image,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Marketplace Dashboard; Trust Intelligence
TRINETRA_0498,5GARderobe: A Scalable Real-Time Virtual Wardrobe &amp; E-Commerce Solution,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard; Trust Intelligence
TRINETRA_0507,Toward a conceptualization of personalized services in apparel e-commerce fulfillment,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Evidence Collection; Adaptive Verification
TRINETRA_0462,Let's Work It Out (or We'll See You in Court): Litigation and Private Dispute Resolution in Vertical Exchange Relationships,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Evidence Collection; Case Timeline
TRINETRA_0464,Improving Dispute Resolution in Two-Sided Platforms: The Case of Review Blackmail,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline; Marketplace Dashboard
TRINETRA_0467,"Courts, Clans and Companies: Mobile Money and Dispute Resolution in Somaliland","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence; Case Timeline
TRINETRA_0466,An Introduction to Alternative Dispute Resolution,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline
TRINETRA_0043,Reverse Logistics in Plastics Recycling,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard
TRINETRA_0468,Dispute Resolution in Transnational Securities Transactions,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline; Human Review
TRINETRA_0308,The Value of Fit Information in Online Retail: Evidence from a Randomized Field Experiment,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Evidence Collection
TRINETRA_0267,Explainable Recommendation through Attentive Multi-View Learning,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Explainability
TRINETRA_0254,Reinforcement Knowledge Graph Reasoning for Explainable Recommendation,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Explainability
TRINETRA_0070,Questioning the AI: Informing Design Practices for Explainable AI User Experiences,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Explainability
TRINETRA_0077,From Machine Learning to Explainable AI,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Adaptive Verification; Explainability
TRINETRA_0256,Fairness-Aware Explainable Recommendation over Knowledge Graphs,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Explainability
TRINETRA_0268,Temporal Meta-path Guided Explainable Recommendation,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Explainability
TRINETRA_0166,Comment based Seller Trust model for E-commerce,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence
TRINETRA_0082,Explainable AI in Fintech Risk Management,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Explainability
TRINETRA_0081,Diabetes prediction using machine learning and explainable AI techniques,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Case Timeline; Explainability
TRINETRA_0258,Counterfactual Explainable Recommendation,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Explainability
TRINETRA_0257,A Reinforcement Learning Framework for Explainable Recommendation,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Evidence Consistency; Trust Intelligence
TRINETRA_0270,KR-GCN: Knowledge-Aware Reasoning with Graph Convolution Network for Explainable Recommendation,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Explainability
TRINETRA_0084,Metrics for Explainable AI: Challenges and Prospects,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence; Explainability
TRINETRA_0404,Trust management through reputation mechanisms,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Trust Intelligence
TRINETRA_0075,"Toward Human-Understandable, Explainable AI",Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Explainability
TRINETRA_0262,Personalized Transformer for Explainable Recommendation,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Explainability
TRINETRA_0252,Explicit factor models for explainable recommendation based on phrase-level sentiment analysis,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Explainability
TRINETRA_0072,Explainable AI (XAI): A systematic meta-survey of current challenges and future opportunities,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Explainability
TRINETRA_0260,Explainable Recommendation via Multi-Task Learning in Opinionated Text Data,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Explainability
TRINETRA_0259,Personalized Prompt Learning for Explainable Recommendation,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence; Explainability
TRINETRA_0253,Learning Heterogeneous Knowledge Base Embeddings for Explainable Recommendation,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Explainability
TRINETRA_0265,Co-Attentive Multi-Task Learning for Explainable Recommendation,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence; Explainability
TRINETRA_0076,Explainable AI Methods - A Brief Overview,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra addresses this by providing proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,Explainability
TRINETRA_0266,Dynamic Explainable Recommendation Based on Neural Attentive Models,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence; Explainability
TRINETRA_0165,"An empirical model of salesperson competence, buyer-seller trust and collaboration: the moderating role of technological turbulence and product complexity","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence
